image,caption_number,caption,id
1000268201_693b08cb0e.jpg,0,Egy rózsaszín ruhás gyerek felmászik egy lépcsőn a bejárati úton.,0
1000268201_693b08cb0e.jpg,1,Egy lány bemegy egy faépületbe.,0
1000268201_693b08cb0e.jpg,2,Egy kislány bemászik egy fából készült játszóházba.,0
1000268201_693b08cb0e.jpg,3,Egy kislány felmászik a lépcsőn a játszóházához.,0
1000268201_693b08cb0e.jpg,4,Egy rózsaszín ruhás kislány bemegy egy fakabinba.,0
1001773457_577c3a7d70.jpg,0,Egy fekete kutya és egy foltos kutya veszekszik,1
1001773457_577c3a7d70.jpg,1,Egy fekete kutya és egy háromszínű kutya játszik egymással az úton.,1
1001773457_577c3a7d70.jpg,2,Egy fekete kutya és egy fehér kutya barna foltokkal bámulják egymást az utcán.,1
1001773457_577c3a7d70.jpg,3,Két különböző fajtájú kutya nézi egymást az úton.,1
1001773457_577c3a7d70.jpg,4,Két kutya a járdán mozog egymás felé.,1
1002674143_1b742ab4b8.jpg,0,"Egy festékkel borított kislány a festett szivárvány előtt ül, kezével egy tálban.",2
1002674143_1b742ab4b8.jpg,1,Egy kislány ül egy nagy festett szivárvány előtt.,2
1002674143_1b742ab4b8.jpg,2,"Egy kicsi lány a fűben ujjfestékekkel játszik egy fehér vászon előtt, amelyen szivárvány van.",2
1002674143_1b742ab4b8.jpg,3,Egy copfos lány ül egy szivárványfestmény előtt.,2
1002674143_1b742ab4b8.jpg,4,Fiatal lány copfos festés kívül a fűben.,2
1003163366_44323f5815.jpg,0,"Egy férfi fekszik egy padon, miközben a kutyája ül mellette.",3
1003163366_44323f5815.jpg,1,"Egy férfi fekszik a padon, amelyhez egy fehér kutya is van kötve.",3
1003163366_44323f5815.jpg,2,"egy férfi kint aludt egy padon, mellette egy fehér-fekete kutya ül.",3
1003163366_44323f5815.jpg,3,Egy félmeztelen férfi fekszik egy padon a kutyájával.,3
1003163366_44323f5815.jpg,4,ember feküdt a padon pórázt tartó kutya ül a földön,3
1007129816_e794419615.jpg,0,"Egy narancssárga kalapos férfi , aki főszerepet játszik valamivel .",4
1007129816_e794419615.jpg,1,Egy férfi narancssárga kalapot és szemüveget visel.,4
1007129816_e794419615.jpg,2,Egy mérőműszeres és szemüveges férfi Blitz sapkát visel.,4
1007129816_e794419615.jpg,3,Egy szemüveges férfi horgolt sörösdobozt visel.,4
1007129816_e794419615.jpg,4,Az áttört fülű férfi szemüveget és narancssárga kalapot visel.,4
1007320043_627395c3d8.jpg,0,Egy gyerek játszik a kötélhálón.,5
1007320043_627395c3d8.jpg,1,Egy kislány piros kötélen mászik.,5
1007320043_627395c3d8.jpg,2,Egy rózsaszín ruhás kislány felmászik egy kötélhídra a parkban.,5
1007320043_627395c3d8.jpg,3,Egy kisgyerek kapaszkodik a piros kötelekbe a játszótéren.,5
1007320043_627395c3d8.jpg,4,A kisgyerek felmászik egy piros kötélen a játszótéren.,5
1009434119_febe49276a.jpg,0,Egy fekete-fehér kutya szaladgál egy fehér kerítéssel körülvett füves kertben.,6
1009434119_febe49276a.jpg,1,Egy fekete-fehér kutya szaladgál a fűben.,6
1009434119_febe49276a.jpg,2,Egy bostoni terrier szaladgál a fűben.,6
1009434119_febe49276a.jpg,3,Egy bostoni terrier szaladgál a buja zöld füvön egy fehér kerítés előtt.,6
1009434119_febe49276a.jpg,4,Egy kutya fut a zöld füvön egy fából készült kerítés közelében.,6
1012212859_01547e3f17.jpg,0,"Egy kutya rázza a fejét a part közelében, mellette egy piros golyó.",7
1012212859_01547e3f17.jpg,1,Egy fehér kutya rázza a strand szélén egy narancssárga labdát.,7
1012212859_01547e3f17.jpg,2,"Kutya narancssárga labdával a lábánál, a parton áll és lerázza a vizet",7
1012212859_01547e3f17.jpg,3,"Fehér kutya játszik egy piros labdával a parton, a víz közelében.",7
1012212859_01547e3f17.jpg,4,"Fehér, barna fülű kutya víz mellett állva, fejjel oldalra fordítva.",7
1015118661_980735411b.jpg,0,Egy fiú mosolyog egy kőfal előtt egy városban.,8
1015118661_980735411b.jpg,1,"Egy kisfiú áll az utcán, miközben egy overallos férfi egy kőfalon dolgozik.",8
1015118661_980735411b.jpg,2,Egy fiatal fiú fut át ​​az utcán.,8
1015118661_980735411b.jpg,3,Egy kisgyerek sétál egy kövezett utcán fémoszloppal és egy férfival a háta mögött.,8
1015118661_980735411b.jpg,4,"Mosolygó fiú fehér ingben és kék farmerben a sziklafal előtt, mögötte overallos férfival.",8
1015584366_dfcec3c85a.jpg,0,Egy fekete kutya átugrik a fatörzsön.,9
1015584366_dfcec3c85a.jpg,1,Egy szürke kutya átugrik egy kidőlt fán.,9
