image|caption_number|caption
1000268201_693b08cb0e.jpg|0|Egy rózsaszín ruhás gyerek felmászik egy lépcsőn a bejárati úton.
1000268201_693b08cb0e.jpg|1|Egy lány bemegy egy faépületbe.
1000268201_693b08cb0e.jpg|2|Egy kislány bemászik egy fából készült játszóházba.
1000268201_693b08cb0e.jpg|3|Egy kislány felmászik a lépcsőn a játszóházához.
1000268201_693b08cb0e.jpg|4|Egy rózsaszín ruhás kislány bemegy egy fakabinba.
1001773457_577c3a7d70.jpg|0|Egy fekete kutya és egy foltos kutya veszekszik
1001773457_577c3a7d70.jpg|1|Egy fekete kutya és egy háromszínű kutya játszik egymással az úton.
1001773457_577c3a7d70.jpg|2|Egy fekete kutya és egy fehér kutya barna foltokkal bámulják egymást az utcán.
1001773457_577c3a7d70.jpg|3|Két különböző fajtájú kutya nézi egymást az úton.
1001773457_577c3a7d70.jpg|4|Két kutya a járdán mozog egymás felé.
1002674143_1b742ab4b8.jpg|0|Egy festékkel borított kislány a festett szivárvány előtt ül, kezével egy tálban.
1002674143_1b742ab4b8.jpg|1|Egy kislány ül egy nagy festett szivárvány előtt.
1002674143_1b742ab4b8.jpg|2|Egy kicsi lány a fűben ujjfestékekkel játszik egy fehér vászon előtt, amelyen szivárvány van.
1002674143_1b742ab4b8.jpg|3|Egy copfos lány ül egy szivárványfestmény előtt.
1002674143_1b742ab4b8.jpg|4|Fiatal lány copfos festés kívül a fűben.
1003163366_44323f5815.jpg|0|Egy férfi fekszik egy padon, miközben a kutyája ül mellette.
1003163366_44323f5815.jpg|1|Egy férfi fekszik a padon, amelyhez egy fehér kutya is van kötve.
1003163366_44323f5815.jpg|2|egy férfi kint aludt egy padon, mellette egy fehér-fekete kutya ül.
1003163366_44323f5815.jpg|3|Egy félmeztelen férfi fekszik egy padon a kutyájával.
1003163366_44323f5815.jpg|4|ember feküdt a padon pórázt tartó kutya ül a földön
1007129816_e794419615.jpg|0|Egy narancssárga kalapos férfi , aki főszerepet játszik valamivel .
1007129816_e794419615.jpg|1|Egy férfi narancssárga kalapot és szemüveget visel.
1007129816_e794419615.jpg|2|Egy mérőműszeres és szemüveges férfi Blitz sapkát visel.
1007129816_e794419615.jpg|3|Egy szemüveges férfi horgolt sörösdobozt visel.
1007129816_e794419615.jpg|4|Az áttört fülű férfi szemüveget és narancssárga kalapot visel.
1007320043_627395c3d8.jpg|0|Egy gyerek játszik a kötélhálón.
1007320043_627395c3d8.jpg|1|Egy kislány piros kötélen mászik.
1007320043_627395c3d8.jpg|2|Egy rózsaszín ruhás kislány felmászik egy kötélhídra a parkban.
1007320043_627395c3d8.jpg|3|Egy kisgyerek kapaszkodik a piros kötelekbe a játszótéren.
1007320043_627395c3d8.jpg|4|A kisgyerek felmászik egy piros kötélen a játszótéren.
1009434119_febe49276a.jpg|0|Egy fekete-fehér kutya szaladgál egy fehér kerítéssel körülvett füves kertben.
1009434119_febe49276a.jpg|1|Egy fekete-fehér kutya szaladgál a fűben.
1009434119_febe49276a.jpg|2|Egy bostoni terrier szaladgál a fűben.
1009434119_febe49276a.jpg|3|Egy bostoni terrier szaladgál a buja zöld füvön egy fehér kerítés előtt.
1009434119_febe49276a.jpg|4|Egy kutya fut a zöld füvön egy fából készült kerítés közelében.
1012212859_01547e3f17.jpg|0|Egy kutya rázza a fejét a part közelében, mellette egy piros golyó.
1012212859_01547e3f17.jpg|1|Egy fehér kutya rázza a strand szélén egy narancssárga labdát.
1012212859_01547e3f17.jpg|2|Kutya narancssárga labdával a lábánál, a parton áll és lerázza a vizet
1012212859_01547e3f17.jpg|3|Fehér kutya játszik egy piros labdával a parton, a víz közelében.
1012212859_01547e3f17.jpg|4|Fehér, barna fülű kutya víz mellett állva, fejjel oldalra fordítva.
1015118661_980735411b.jpg|0|Egy fiú mosolyog egy kőfal előtt egy városban.
1015118661_980735411b.jpg|1|Egy kisfiú áll az utcán, miközben egy overallos férfi egy kőfalon dolgozik.
1015118661_980735411b.jpg|2|Egy fiatal fiú fut át ​​az utcán.
1015118661_980735411b.jpg|3|Egy kisgyerek sétál egy kövezett utcán fémoszloppal és egy férfival a háta mögött.
1015118661_980735411b.jpg|4|Mosolygó fiú fehér ingben és kék farmerben a sziklafal előtt, mögötte overallos férfival.
1015584366_dfcec3c85a.jpg|0|Egy fekete kutya átugrik a fatörzsön.
1015584366_dfcec3c85a.jpg|1|Egy szürke kutya átugrik egy kidőlt fán.
1015584366_dfcec3c85a.jpg|2|Egy nagy fekete kutya ugrál egy kidőlt farönköt.
1015584366_dfcec3c85a.jpg|3|Egy fekete-szürke foltos kutya kék nyakörvben ugrál át egy kidőlt fán.
1015584366_dfcec3c85a.jpg|4|A fekete kutya felugrott a fatönkre.
101654506_8eb26cfb60.jpg|0|Egy barna-fehér kutya szaladgál a hóban.
101654506_8eb26cfb60.jpg|1|Egy kutya szaladgál a hóban
101654506_8eb26cfb60.jpg|2|Egy kutya fut a hóban.
101654506_8eb26cfb60.jpg|3|egy fehér és barna kutya szaladgál egy havas mezőn keresztül.
101654506_8eb26cfb60.jpg|4|A fehér és barna kutya szaladgál a hó felszínén.
101669240_b2d3e7f17b.jpg|0|Egy kalapos férfi képeket jelenít meg egy kék sapkás síelő mellett.
101669240_b2d3e7f17b.jpg|1|Egy férfi síel egy másik férfi mellett, aki festményeket jelenít meg a hóban.
101669240_b2d3e7f17b.jpg|2|Egy sílécet viselő személy a hóban felállított bekeretezett képeket nézegeti .
101669240_b2d3e7f17b.jpg|3|Egy síelő bekeretezett képeket néz a hóban a fák mellett.
101669240_b2d3e7f17b.jpg|4|Férfi síléc, nézi a műalkotás eladó a hóban
1016887272_03199f49c4.jpg|0|Egy kollázs egy sziklán mászó személyről.
1016887272_03199f49c4.jpg|1|Emberek egy csoportja sziklamászott egy sziklamászófalon.
1016887272_03199f49c4.jpg|2|Egy embercsoport felmászik egy sziklára, miközben egy ember véd
1016887272_03199f49c4.jpg|3|Hét hegymászó emelkedik fel egy sziklafalon, miközben egy másik férfi áll a kötelet fogva.
1016887272_03199f49c4.jpg|4|Egymás után több hegymászó mászik a sziklán, miközben a piros ruhás férfi figyeli és tartja a vonalat.
1019077836_6fc9b15408.jpg|0|Egy barna kutya kergeti a vizet egy locsolóból a gyepen.
1019077836_6fc9b15408.jpg|1|barna kutya játszik a tömlővel .
1019077836_6fc9b15408.jpg|2|Egy barna kutya szaladgál a gyepen egy kerti tömlő közelében
1019077836_6fc9b15408.jpg|3|Egy kutya játszik a tömlővel.
1019077836_6fc9b15408.jpg|4|Nagy barna kutya menekül az öntözőtől a fűben.
1019604187_d087bf9a5f.jpg|0|Egy kutya arra készül, hogy elkapjon egy eldobott tárgyat a mezőn a közeli autókkal.
1019604187_d087bf9a5f.jpg|1|Egy fehér kutya egy sárga golyót készül elkapni a szájába.
1019604187_d087bf9a5f.jpg|2|Egy fehér kutya egy sárga kutyajátékot készül elkapni.
1019604187_d087bf9a5f.jpg|3|Egy fehér kutya készen áll arra, hogy elkapjon egy sárga labdát, amely a levegőben repül.
1019604187_d087bf9a5f.jpg|4|Egy fehér kutya fut egy sárga labda után
1020651753_06077ec457.jpg|0|egy fekete-fehér kutya ugrál a levegőben, hogy játékot szerezzen.
